Title,Title20,Country/Region,SCIE,SSCI,AHCI,ESCI
ACM TRANSACTIONS ON COMPUTER SYSTEMS,ACM T COMPUT SYST,UNITED STATES,X,,,
ACM TRANSACTIONS ON COMPUTATION THEORY,ACM T COMPUT THEORY,UNITED STATES,,,,X
ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION,ACM T COMPUT-HUM INT,UNITED STATES,X,,,
ACM TRANSACTIONS ON DATABASE SYSTEMS,ACM T DATABASE SYST,UNITED STATES,X,,,
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,ACM T DES AUTOMAT EL,UNITED STATES,X,,,
ACM TRANSACTIONS ON ECONOMICS AND COMPUTATION,ACM T ECON COMPUT,UNITED STATES,,,,X
ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,ACM T EMBED COMPUT S,UNITED STATES,X,,,
ACM TRANSACTIONS ON GRAPHICS,ACM T GRAPHIC,UNITED STATES,X,,,
ACM TRANSACTIONS ON HUMAN-ROBOT INTERACTION,ACM T HUM-ROBOT INTE,UNITED STATES,,,,X
ACM TRANSACTIONS ON INFORMATION SYSTEMS,ACM T INFORM SYST,UNITED STATES,X,,,
ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,ACM T INTEL SYST TEC,UNITED STATES,X,,,
ACM TRANSACTIONS ON INTERACTIVE INTELLIGENT SYSTEMS,ACM T INTERACT INTEL,UNITED STATES,X,,,
ACM TRANSACTIONS ON INTERNET TECHNOLOGY,ACM T INTERNET TECHN,UNITED STATES,X,,,
ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA,ACM T KNOWL DISCOV D,UNITED STATES,X,,,
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,ACM T MATH SOFTWARE,UNITED STATES,X,,,
ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION,ACM T MODEL COMPUT S,UNITED STATES,X,,,
ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,ACM T MULTIM COMPUT,UNITED STATES,X,,,
ACM TRANSACTIONS ON PRIVACY AND SECURITY,ACM T PRIV SECUR,UNITED STATES,X,,,
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,ACM T PROGR LANG SYS,UNITED STATES,X,,,
ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS,ACM T RECONFIG TECHN,UNITED STATES,X,,,
ACM TRANSACTIONS ON SENSOR NETWORKS,ACM T SENSOR NETWORK,UNITED STATES,X,,,
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,ACM T SOFTW ENG METH,UNITED STATES,X,,,
ACM TRANSACTIONS ON STORAGE,ACM T STORAGE,UNITED STATES,X,,,
ACM TRANSACTIONS ON THE WEB,ACM T WEB,UNITED STATES,X,,,
ACM TRANSACTIONS ON CYBER-PHYSICAL SYSTEMS,ACM TRANS CYBER-PHYS,UNITED STATES,,,,X
ACM TRANSACTIONS ON MANAGEMENT INFORMATION SYSTEMS,ACM TRANS MANAG INF,UNITED STATES,,,,X
ACM TRANSACTIONS ON MODELING AND PERFORMANCE EVALUATION OF COMPUTING SYSTEMS,ACM TRANS MODELING P,UNITED STATES,,,,X
ACM TRANSACTIONS ON PARALLEL COMPUTING,ACM TRANS PARALLEL C,UNITED STATES,,,,X
ACM TRANSACTIONS ON SPATIAL ALGORITHMS AND SYSTEMS,ACM TRANS SPAT ALGOR,UNITED STATES,,,,X
ACME-ANNALI DELLA FACOLTA DI STUDI UMANISTICI DELL UNIVERSITA DEGLI STUDI DI MILANO,ACME-ANN FAC STUDI U,ITALY,,,,X
ACOUSTICS AUSTRALIA,ACOUST AUST,AUSTRALIA,X,,,
ACOUSTICAL PHYSICS,ACOUST PHYS+,RUSSIA,X,,,
ACOUSTICAL SCIENCE AND TECHNOLOGY,ACOUST SCI TECHNOL,JAPAN,,,,X
ACOUSTICS,ACOUSTICS-BASEL,SWITZERLAND,,,,X
ACQUE SOTTERRANEE-ITALIAN JOURNAL OF GROUNDWATER,ACQUE SOTTER,ITALY,,,,X
ACROSS LANGUAGES AND CULTURES,ACROSS LANG CULT,HUNGARY,,X,X,
ACS APPLIED BIO MATERIALS,ACS APPL BIO MATER,UNITED STATES,,,,X
ACS APPLIED ELECTRONIC MATERIALS,ACS APPL ELECTRON MA,UNITED STATES,X,,,
ACS APPLIED ENERGY MATERIALS,ACS APPL ENERG MATER,UNITED STATES,X,,,
ACS APPLIED MATERIALS & INTERFACES,ACS APPL MATER INTER,UNITED STATES,X,,,
ACS APPLIED NANO MATERIALS,ACS APPL NANO MATER,UNITED STATES,X,,,
ACS APPLIED POLYMER MATERIALS,ACS APPL POLYM MATER,UNITED STATES,X,,,
ACS BIOMATERIALS SCIENCE & ENGINEERING,ACS BIOMATER SCI ENG,UNITED STATES,X,,,
ACS CATALYSIS,ACS CATAL,UNITED STATES,X,,,
ACS CENTRAL SCIENCE,ACS CENTRAL SCI,UNITED STATES,X,,,
ACS CHEMICAL BIOLOGY,ACS CHEM BIOL,UNITED STATES,X,,,
ACS CHEMICAL HEALTH & SAFETY,ACS CHEM HEALTH SAFE,UNITED STATES,,,,X
ACS CHEMICAL NEUROSCIENCE,ACS CHEM NEUROSCI,UNITED STATES,X,,,
ACS COMBINATORIAL SCIENCE,ACS COMB SCI,UNITED STATES,X,,,
ACS EARTH AND SPACE CHEMISTRY,ACS EARTH SPACE CHEM,UNITED STATES,X,,,
ACS ENERGY LETTERS,ACS ENERGY LETT,UNITED STATES,X,,,
ACS ES&T ENGINEERING,ACS EST ENG,UNITED STATES,,,,X
ACS INFECTIOUS DISEASES,ACS INFECT DIS,UNITED STATES,X,,,
ACS MACRO LETTERS,ACS MACRO LETT,UNITED STATES,X,,,
ACS MATERIALS LETTERS,ACS MATER LETT,UNITED STATES,X,,,
ACS MEDICINAL CHEMISTRY LETTERS,ACS MED CHEM LETT,UNITED STATES,X,,,
ACS NANO,ACS NANO,UNITED STATES,X,,,
ACS OMEGA,ACS OMEGA,UNITED STATES,X,,,
ACS PHARMACOLOGY & TRANSLATIONAL SCIENCE,ACS PHARMACOL TRANSL,UNITED STATES,,,,X
ACS PHOTONICS,ACS PHOTONICS,UNITED STATES,X,,,
ACS SENSORS,ACS SENSORS,UNITED STATES,X,,,
ACS SUSTAINABLE CHEMISTRY & ENGINEERING,ACS SUSTAIN CHEM ENG,UNITED STATES,X,,,
ACS SYNTHETIC BIOLOGY,ACS SYNTH BIOL,UNITED STATES,X,,,
ACSMS HEALTH & FITNESS JOURNAL,ACSMS HEALTH FIT J,UNITED STATES,X,,,
ACTIVITIES ADAPTATION & AGING,ACT ADAPT AGING,UNITED STATES,,,,X
ACTIVE LEARNING IN HIGHER EDUCATION,ACT LEARN HIGH EDUC,UNITED STATES,,X,,
ACTIVITAS NERVOSA SUPERIOR REDIVIVA,ACT NERV SUPER REDIV,SLOVAKIA,,,,X
ACTIVE AND PASSIVE ELECTRONIC COMPONENTS,ACT PASSIV ELECTRON,UNITED STATES,,,,X
ACTA ACUSTICA,ACTA ACUST,FRANCE,X,,,
ACTA ACUSTICA UNITED WITH ACUSTICA,ACTA ACUST UNITED AC,GERMANY,X,,,
ACTA ADRIATICA,ACTA ADRIAT,CROATIA,X,,,
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,ACTA AGR SCAND A-AN,NORWAY,X,,,
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,ACTA AGR SCAND B-S P,NORWAY,X,,,
ACTA AGROBOTANICA,ACTA AGROBOT,POLAND,,,,X
ACTA ALIMENTARIA,ACTA ALIMENT HUNG,HUNGARY,X,,,
ACTA AMAZONICA,ACTA AMAZON,BRAZIL,X,,,
ACTA ANAESTHESIOLOGICA BELGICA,ACTA ANAESTH BELG,BELGIUM,,,,X
ACTA ANAESTHESIOLOGICA SCANDINAVICA,ACTA ANAESTH SCAND,DENMARK,X,,,
ACTA ANALYTICA-INTERNATIONAL PERIODICAL FOR PHILOSOPHY IN THE ANALYTICAL TRADITION,ACTA ANAL,NETHERLANDS,,,X,
ACTA ANGIOLOGICA,ACTA ANGIOL,POLAND,,,,X
ACTA APPLICANDAE MATHEMATICAE,ACTA APPL MATH,NETHERLANDS,X,,,
ACTA ARCHAEOLOGICA,ACTA ARCHAEOL-DEN,DENMARK,,,X,
ACTA ARITHMETICA,ACTA ARITH,POLAND,X,,,
ACTA ASTRONAUTICA,ACTA ASTRONAUT,UNITED STATES,X,,,
ACTA ASTRONOMICA,ACTA ASTRONOM,POLAND,X,,,
ACTA BALNEOLOGICA,ACTA BALNEOL,POLAND,,,,X
ACTA BALTICO-SLAVICA,ACTA BALTICO-SLAV,POLAND,,,,X
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,ACTA BIOCH BIOPH SIN,PEOPLES R CHINA,X,,,
ACTA BIOCHIMICA POLONICA,ACTA BIOCHIM POL,POLAND,X,,,
ACTA BIOCLINICA,ACTA BIOCLINICA,VENEZUELA,,,,X
ACTA OF BIOENGINEERING AND BIOMECHANICS,ACTA BIOENG BIOMECH,POLAND,X,,,
ACTA BIOETHICA,ACTA BIOETH,CHILE,X,X,,
ACTA BIOLOGICA COLOMBIANA,ACTA BIOL COLOMB,COLOMBIA,X,,,
ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,ACTA BIOL CRACOV BOT,POLAND,X,,,
ACTA BIOMATERIALIA,ACTA BIOMATER,ENGLAND,X,,,
ACTA BIOQUIMICA CLINICA LATINOAMERICANA,ACTA BIOQUIM CLIN L,ARGENTINA,X,,,
ACTA BIOTHEORETICA,ACTA BIOTHEOR,NETHERLANDS,X,,,
ACTA BOREALIA,ACTA BOREAL,ENGLAND,,,X,
ACTA BOTANICA BRASILICA,ACTA BOT BRAS,BRAZIL,X,,,
ACTA BOTANICA CROATICA,ACTA BOT CROAT,CROATIA,X,,,
ACTA BOTANICA MEXICANA,ACTA BOT MEX,MEXICO,X,,,
ACTA BRASILIENSIS,ACTA BRAS,BRAZIL,,,,X
ACTA CARDIOLOGICA,ACTA CARDIOL,BELGIUM,X,,,
ACTA CARDIOLOGICA SINICA,ACTA CARDIOL SIN,TAIWAN,X,,,
ACTA CARSOLOGICA,ACTA CARSOLOGICA,SLOVENIA,X,,,
ACTA CHEMICA IASI,ACTA CHEM IASI,POLAND,,,,X
ACTA CHIMICA SINICA,ACTA CHIM SINICA,PEOPLES R CHINA,X,,,
ACTA CHIMICA SLOVENICA,ACTA CHIM SLOV,SLOVENIA,X,,,
ACTA CHIMICA SLOVACA,ACTA CHIM SLOVACA,POLAND,,,,X
ACTA CHIRURGICA BELGICA,ACTA CHIR BELG,ENGLAND,X,,,
ACTA CHIRURGIAE ORTHOPAEDICAE ET TRAUMATOLOGIAE CECHOSLOVACA,ACTA CHIR ORTHOP TR,CZECH REPUBLIC,X,,,
ACTA CHIROPTEROLOGICA,ACTA CHIROPTEROL,POLAND,X,,,
ACTA CHROMATOGRAPHICA,ACTA CHROMATOGR,POLAND,X,,,
ACTA CIRURGICA BRASILEIRA,ACTA CIR BRAS,BRAZIL,X,,,
ACTA CLASSICA,ACTA CLASS,SOUTH AFRICA,,,X,
ACTA CLINICA BELGICA,ACTA CLIN BELG,ENGLAND,X,,,
ACTA CLINICA CROATICA,ACTA CLIN CROAT,CROATIA,X,,,
ACTA COLOMBIANA DE PSICOLOGIA,ACTA COLOMB PSICOL,COLOMBIA,,,,X
ACTA ET COMMENTATIONES UNIVERSITATIS TARTUENSIS DE MATHEMATICA,ACTA COMMENT UNIV TA,ESTONIA,,,,X
ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES,ACTA CRYSTALLOGR A,ENGLAND,X,,,
ACTA CRYSTALLOGRAPHICA SECTION B-STRUCTURAL SCIENCE CRYSTAL ENGINEERING AND MATERIALS,ACTA CRYSTALLOGR B,ENGLAND,X,,,
ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,ACTA CRYSTALLOGR C,ENGLAND,X,,,
ACTA CRYSTALLOGRAPHICA SECTION D-STRUCTURAL BIOLOGY,ACTA CRYSTALLOGR D,ENGLAND,X,,,
ACTA CRYSTALLOGRAPHICA SECTION E-CRYSTALLOGRAPHIC COMMUNICATIONS,ACTA CRYSTALLOGR E,ENGLAND,,,,X
ACTA CRYSTALLOGRAPHICA SECTION F-STRUCTURAL BIOLOGY COMMUNICATIONS,ACTA CRYSTALLOGR F,DENMARK,X,,,
ACTA CYBERNETICA,ACTA CYBERN,HUNGARY,,,,X
ACTA CYTOLOGICA,ACTA CYTOL,SWITZERLAND,X,,,
ACTA DERMATOVENEROLOGICA ALPINA PANNONICA ET ADRIATICA,ACTA DERMATOVEN ALP,SLOVENIA,,,,X
ACTA DERMATOVENEROLOGICA CROATICA,ACTA DERMATOVENER CR,CROATIA,X,,,
ACTA DERMATO-VENEREOLOGICA,ACTA DERM-VENEREOL,NORWAY,X,,,
ACTA DIABETOLOGICA,ACTA DIABETOL,ITALY,X,,,
ACTA ENDOCRINOLOGICA-BUCHAREST,ACTA ENDOCRINOL-BUCH,ROMANIA,X,,,
ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,ACTA ENT MUS NAT PRA,CZECH REPUBLIC,X,,,
ACTA ETHOLOGICA,ACTA ETHOL,GERMANY,X,,,
ACTA FACULTATIS MEDICAE NAISSENSIS,ACTA FAC MEDICAE NAI,SERBIA,,,,X
ACTA FACULTATIS XYLOLOGIAE ZVOLEN,ACTA FAC XYLOLOG ZVO,SLOVAKIA,,,,X
ACTA GASTRO-ENTEROLOGICA BELGICA,ACTA GASTRO-ENT BELG,BELGIUM,X,,,
ACTA GEOCHIMICA,ACTA GEOCHIM,PEOPLES R CHINA,,,,X
ACTA GEODAETICA ET GEOPHYSICA,ACTA GEOD GEOPHYS,HUNGARY,X,,,
ACTA GEODYNAMICA ET GEOMATERIALIA,ACTA GEODYN GEOMATER,CZECH REPUBLIC,X,,,
ACTA GEOGRAPHICA SLOVENICA-GEOGRAFSKI ZBORNIK,ACTA GEOGR SLOV,SLOVENIA,X,,,
ACTA GEOLOGICA POLONICA,ACTA GEOL POL,POLAND,X,,,
ACTA GEOLOGICA SINICA-ENGLISH EDITION,ACTA GEOL SIN-ENGL,PEOPLES R CHINA,X,,,
ACTA GEOPHYSICA,ACTA GEOPHYS,POLAND,X,,,
ACTA GEOTECHNICA,ACTA GEOTECH,GERMANY,X,,,
ACTA GEOTECHNICA SLOVENICA,ACTA GEOTECH SLOV,SLOVENIA,X,,,
ACTA GERMANICA-GERMAN STUDIES IN AFRICA,ACTA GER,SOUTH AFRICA,,,,X
ACTA GYMNICA,ACTA GYMNICA,CZECH REPUBLIC,,,,X
ACTA HAEMATOLOGICA,ACTA HAEMATOL-BASEL,SWITZERLAND,X,,,
ACTA HERPETOLOGICA,ACTA HERPETOL,ITALY,X,,,
ACTA HISTORICA TALLINNENSIA,ACTA HIST TALLINENSI,ESTONIA,,,X,
ACTA HISTOCHEMICA,ACTA HISTOCHEM,GERMANY,X,,,
ACTA HISTOCHEMICA ET CYTOCHEMICA,ACTA HISTOCHEM CYTOC,JAPAN,X,,,
ACTA HISTRIAE,ACTA HISTRIAE,SLOVENIA,,X,X,
ACTA ICHTHYOLOGICA ET PISCATORIA,ACTA ICHTHYOL PISCAT,BULGARIA,X,,,
ACTA INFORMATICA,ACTA INFORM,GERMANY,X,,,
ACTA KINESIOLOGICA,ACTA KINESIOL,BOSNIA & HERCEG,,,,X
ACTA KOREANA,ACTA KOREANA,SOUTH KOREA,,,X,
ACTA LINGUISTICA ACADEMICA,ACTA LINGUIST ACAD,HUNGARY,,X,X,
ACTA LITERARIA,ACTA LIT,CHILE,,,X,
ACTA MATERIALIA,ACTA MATER,UNITED STATES,X,,,
ACTA MATHEMATICAE APPLICATAE SINICA-ENGLISH SERIES,ACTA MATH APPL SIN-E,PEOPLES R CHINA,X,,,
ACTA MATHEMATICA HUNGARICA,ACTA MATH HUNG,HUNGARY,X,,,
ACTA MATHEMATICA SCIENTIA,ACTA MATH SCI,PEOPLES R CHINA,X,,,
ACTA MATHEMATICA SINICA-ENGLISH SERIES,ACTA MATH SIN,PEOPLES R CHINA,X,,,
ACTA MATHEMATICA UNIVERSITATIS COMENIANAE,ACTA MATH UNIV COMEN,SLOVAKIA,,,,X
ACTA MATHEMATICA VIETNAMICA,ACTA MATH VIETNAM,VIETNAM,,,,X
ACTA MATHEMATICA,ACTA MATH-DJURSHOLM,SWEDEN,X,,,
ACTA MECHANICA,ACTA MECH,AUSTRIA,X,,,
ACTA MECHANICA ET AUTOMATICA,ACTA MECH AUTOMATICA,POLAND,,,,X
ACTA MECHANICA SINICA,ACTA MECH SINICA-PRC,PEOPLES R CHINA,X,,,
ACTA MECHANICA SOLIDA SINICA,ACTA MECH SOLIDA SIN,PEOPLES R CHINA,X,,,
ACTA MEDICA INDONESIANA,ACTA MED INDONES,INDONESIA,,,,X
ACTA MEDICA OKAYAMA,ACTA MED OKAYAMA,JAPAN,X,,,
ACTA MEDICO-HISTORICA ADRIATICA,ACTA MED-HIST ADRIAT,CROATIA,,,,X
ACTA MEDICA MEDITERRANEA,ACTA MEDICA MEDITERR,ITALY,X,,,
ACTA MEDICA PORTUGUESA,ACTA MEDICA PORT,PORTUGAL,X,,,
ACTA METALLURGICA SINICA,ACTA METALL SIN,PEOPLES R CHINA,X,,,
ACTA METALLURGICA SINICA-ENGLISH LETTERS,ACTA METALL SIN-ENGL,PEOPLES R CHINA,X,,,
ACTA METALLURGICA SLOVACA,ACTA METALL SLOVACA,SLOVAKIA,,,,X
ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA,ACTA MICROBIOL IMM H,HUNGARY,X,,,
ACTA MISSIOLOGICA,ACTA MISSIOL,SLOVAKIA,,,,X
ACTA MONTANISTICA SLOVACA,ACTA MONTAN SLOVACA,SLOVAKIA,X,,,
ACTA MUSICOLOGICA,ACTA MUSICOLOGICA,SWITZERLAND,,,X,
ACTA NATURAE,ACTA NATURAE,RUSSIA,X,,,
ACTA NEOPHILOLOGICA,ACTA NEOPHILOL,SLOVENIA,,,,X
ACTA NEUROBIOLOGIAE EXPERIMENTALIS,ACTA NEUROBIOL EXP,POLAND,X,,,
ACTA NEUROCHIRURGICA,ACTA NEUROCHIR,AUSTRIA,X,,,
ACTA NEUROLOGICA BELGICA,ACTA NEUROL BELG,BELGIUM,X,,,
ACTA NEUROLOGICA SCANDINAVICA,ACTA NEUROL SCAND,DENMARK,X,,,
ACTA NEUROPATHOLOGICA,ACTA NEUROPATHOL,GERMANY,X,,,
ACTA NEUROPATHOLOGICA COMMUNICATIONS,ACTA NEUROPATHOL COM,ENGLAND,X,,,
ACTA NEUROPSYCHIATRICA,ACTA NEUROPSYCHIATR,DENMARK,X,,,
ACTA NEUROPSYCHOLOGICA,ACTA NEUROPSYCHOL,POLAND,,,,X
