Title,Title20,Country/Region,SCIE,SSCI,AHCI,ESCI
MANUSCRIPTA MATHEMATICA,MANUSCRIPTA MATH,GERMANY,X,,,
MANUSCRITO,MANUSCRITO,BRAZIL,,,X,
MANUSCRITS-REVISTA D HISTORIA MODERNA,MANUSCRITS,SPAIN,,,,X
MANZAR-THE SCIENTIFIC JOURNAL OF LANDSCAPE,MANZAR,IRAN,,,,X
MAPAN-JOURNAL OF METROLOGY SOCIETY OF INDIA,MAPAN-J METROL SOC I,INDIA,X,,,
MARINE BIODIVERSITY,MAR BIODIVERS,GERMANY,X,,,
MARINE BIOLOGY,MAR BIOL,GERMANY,X,,,
MARINE BIOLOGY RESEARCH,MAR BIOL RES,NORWAY,X,,,
MARINE BIOTECHNOLOGY,MAR BIOTECHNOL,UNITED STATES,X,,,
MARINE CHEMISTRY,MAR CHEM,NETHERLANDS,X,,,
MARINE AND COASTAL FISHERIES,MAR COAST FISH,UNITED STATES,X,,,
MARINE DRUGS,MAR DRUGS,SWITZERLAND,X,,,
MARINE ECOLOGY PROGRESS SERIES,MAR ECOL PROG SER,GERMANY,X,,,
MARINE ECOLOGY-AN EVOLUTIONARY PERSPECTIVE,MAR ECOL-EVOL PERSP,GERMANY,X,,,
MARINE ENVIRONMENTAL RESEARCH,MAR ENVIRON RES,ENGLAND,X,,,
MARINE AND FRESHWATER BEHAVIOUR AND PHYSIOLOGY,MAR FRESHW BEHAV PHY,ENGLAND,X,,,
MARINE AND FRESHWATER RESEARCH,MAR FRESHWATER RES,AUSTRALIA,X,,,
MARINE GENOMICS,MAR GENOM,NETHERLANDS,X,,,
MARINE GEODESY,MAR GEOD,UNITED STATES,X,,,
MARINE GEOLOGY,MAR GEOL,NETHERLANDS,X,,,
MARINE GEOPHYSICAL RESEARCH,MAR GEOPHYS RES,NETHERLANDS,X,,,
MARINE GEORESOURCES & GEOTECHNOLOGY,MAR GEORESOUR GEOTEC,UNITED STATES,X,,,
MARINE INTELLECTUAL TECHNOLOGIES,MAR INTELLECT TECHNO,RUSSIA,,,,X
MARINE LIFE SCIENCE & TECHNOLOGY,MAR LIFE SCI TECH,PEOPLES R CHINA,X,,,
MARINE MAMMAL SCIENCE,MAR MAMMAL SCI,UNITED STATES,X,,,
MARINE MICROPALEONTOLOGY,MAR MICROPALEONTOL,NETHERLANDS,X,,,
MARINE ORNITHOLOGY,MAR ORNITHOL,SOUTH AFRICA,X,,,
MARINE AND PETROLEUM GEOLOGY,MAR PETROL GEOL,ENGLAND,X,,,
MARINE POLICY,MAR POLICY,ENGLAND,,X,,
MARINE POLLUTION BULLETIN,MAR POLLUT BULL,ENGLAND,X,,,
MARINE RESOURCE ECONOMICS,MAR RESOUR ECON,UNITED STATES,X,X,,
MARINE STRUCTURES,MAR STRUCT,ENGLAND,X,,,
MARINE TECHNOLOGY SOCIETY JOURNAL,MAR TECHNOL SOC J,UNITED STATES,X,,,
MARGIN-JOURNAL OF APPLIED ECONOMIC RESEARCH,MARGIN,UNITED STATES,,,,X
MARG-A MAGAZINE OF THE ARTS,MARG-MAG ARTS,INDIA,,,X,
MARINERS MIRROR,MARINERS MIRROR,ENGLAND,,,X,
MARITIME BUSINESS REVIEW,MARIT BUS REV,ENGLAND,,,,X
MARITIME ECONOMICS & LOGISTICS,MARIT ECON LOGIST,ENGLAND,,X,,
MARITIME POLICY & MANAGEMENT,MARIT POLICY MANAG,ENGLAND,,X,,
MARITIME STUDIES,MARIT STUD,GERMANY,,,,X
MARKETING INTELLIGENCE & PLANNING,MARK INTELL PLAN,ENGLAND,,X,,
MARKETING AND MANAGEMENT OF INNOVATIONS,MARK MANAG INNOV,UKRAINE,,,,X
MARK TWAIN ANNUAL,MARK TWAIN ANNU,UNITED STATES,,,,X
MARKETING LETTERS,MARKET LETT,UNITED STATES,,X,,
MARKETING SCIENCE,MARKET SCI,UNITED STATES,,X,,
MARKETING THEORY,MARKETING THEOR,ENGLAND,,X,,
MARKOV PROCESSES AND RELATED FIELDS,MARKOV PROCESS RELAT,RUSSIA,X,,,
MARKET-TRZISTE,MARK-TRZ,CROATIA,,,,X
MARMARA MEDICAL JOURNAL,MARMARA MED J,TURKEY,,,,X
MARRIAGE AND FAMILY REVIEW,MARRIAGE FAM REV,ENGLAND,,,,X
MARVELS & TALES-JOURNAL OF FAIRY-TALE STUDIES,MARVELS TALES,UNITED STATES,,,X,
MASONRY SOCIETY JOURNAL,MASON SOC J,UNITED STATES,,,,X
MASS COMMUNICATION AND SOCIETY,MASS COMMUN SOC,UNITED STATES,,X,,
MASSACHUSETTS REVIEW,MASS REV,UNITED STATES,,,X,
MASS SPECTROMETRY LETTERS,MASS SPECTROM LETT,SOUTH KOREA,,,,X
MASS SPECTROMETRY REVIEWS,MASS SPECTROM REV,UNITED STATES,X,,,
MASTER DRAWINGS,MASTER DRAWINGS,UNITED STATES,,,X,
MASYARAKAT KEBUDAYAAN DAN POLITIK,MASYARAKAT KEBUDAYAA,INDONESIA,,,,X
MATERIALS SCIENCE AND ENGINEERING A-STRUCTURAL MATERIALS PROPERTIES MICROSTRUCTURE AND PROCESSING,MAT SCI ENG A-STRUCT,SWITZERLAND,X,,,
MATERIALS SCIENCE & ENGINEERING C-MATERIALS FOR BIOLOGICAL APPLICATIONS,MAT SCI ENG C-MATER,NETHERLANDS,X,,,
MATERIALS SCIENCE & ENGINEERING R-REPORTS,MAT SCI ENG R,NETHERLANDS,X,,,
MATERIALS SCIENCE IN SEMICONDUCTOR PROCESSING,MAT SCI SEMICON PROC,ENGLAND,X,,,
MATEMATICKI VESNIK,MAT VESTN,SERBIA,,,,X
MATCH-COMMUNICATIONS IN MATHEMATICAL AND IN COMPUTER CHEMISTRY,MATCH-COMMUN MATH CO,SERBIA,X,,,
MATEMATICHE,MATEMATICHE,ITALY,,,,X
MATEMATIKA,MATEMATIKA,MALAYSIA,,,,X
MATERIALS ADVANCES,MATER ADV,ENGLAND,,,,X
MATERIALY PO ARKHEOLOGII ISTORII I ETNOGRAFII TAVRII-MATERIALS IN ARCHAEOLOGY HISTORY AND ETHNOGRAPHY OF TAURIA,MATER ARK ISTOR ETNO,CRIMEA,,,,X
MATERIALS CHARACTERIZATION,MATER CHARACT,UNITED STATES,X,,,
MATERIALS CHEMISTRY FRONTIERS,MATER CHEM FRONT,ENGLAND,X,,,
MATERIALS CHEMISTRY AND PHYSICS,MATER CHEM PHYS,SWITZERLAND,X,,,
MATERIALES DE CONSTRUCCION,MATER CONSTRUCC,SPAIN,X,,,
MATERIALS AND CORROSION-WERKSTOFFE UND KORROSION,MATER CORROS,GERMANY,X,,,
MATERIALS & DESIGN,MATER DESIGN,ENGLAND,X,,,
MATERIALI E DISCUSSIONI PER L ANALISI DEI TESTI CLASSICI,MATER DISCUSS ANAL T,ITALY,,,X,
MATERIALS EVALUATION,MATER EVAL,UNITED STATES,X,,,
MATERIALS EXPRESS,MATER EXPRESS,UNITED STATES,X,,,
MATERIALS AT HIGH TEMPERATURES,MATER HIGH TEMP,ENGLAND,X,,,
MATERIALES PARA LA HISTORIA DEL DEPORTE,MATER HIST DEPORT,SPAIN,,,,X
MATERIALS HORIZONS,MATER HORIZ,ENGLAND,X,,,
MATERIALS LETTERS,MATER LETT,NETHERLANDS,X,,,
MATERIALS LETTERS-X,MATER LETT-X,NETHERLANDS,,,,X
MATERIALS AND MANUFACTURING PROCESSES,MATER MANUF PROCESS,UNITED STATES,X,,,
MATERIALS PERFORMANCE AND CHARACTERIZATION,MATER PERFORM CHARAC,UNITED STATES,,,,X
MATERIALS PHYSICS AND MECHANICS,MATER PHYS MECH,RUSSIA,,,,X
MATERIALE PLASTICE,MATER PLAST,ROMANIA,X,,,
MATERIAL RELIGION,MATER RELIG,ENGLAND,,,X,
MATERIALS FOR RENEWABLE AND SUSTAINABLE ENERGY,MATER RENEW SUSTAIN,GERMANY,,,,X
MATERIALS RESEARCH BULLETIN,MATER RES BULL,UNITED STATES,X,,,
MATERIALS RESEARCH EXPRESS,MATER RES EXPRESS,ENGLAND,X,,,
MATERIALS RESEARCH LETTERS,MATER RES LETT,UNITED STATES,X,,,
MATERIALS RESEARCH-IBERO-AMERICAN JOURNAL OF MATERIALS,MATER RES-IBERO-AM J,BRAZIL,X,,,
MATERIALS SCIENCE AND ENGINEERING B-ADVANCED FUNCTIONAL SOLID-STATE MATERIALS,MATER SCI ENG B-ADV,NETHERLANDS,X,,,
MATERIALS SCIENCE AND TECHNOLOGY,MATER SCI TECH-LOND,ENGLAND,X,,,
MATERIALS SCIENCE,MATER SCI+,UKRAINE,X,,,
MATERIALS SCIENCE-MEDZIAGOTYRA,MATER SCI-MEDZG,LITHUANIA,X,,,
MATERIALS SCIENCE-POLAND,MATER SCI-POLAND,POLAND,X,,,
MATERIALI PER UNA STORIA DELLA CULTURA GIURIDICA,MATER STOR CULT GIUR,ITALY,,,,X
MATERIALS AND STRUCTURES,MATER STRUCT,NETHERLANDS,X,,,
MATERIAUX & TECHNIQUES,MATER TECHNIQUE-FR,FRANCE,,,,X
MATERIALS TECHNOLOGY,MATER TECHNOL,ENGLAND,X,,,
MATERIALI IN TEHNOLOGIJE,MATER TEHNOL,SLOVENIA,X,,,
MATERIALS TESTING,MATER TEST,GERMANY,X,,,
MATERIALS TODAY,MATER TODAY,ENGLAND,X,,,
MATERIALS TODAY ADVANCES,MATER TODAY ADV,ENGLAND,X,,,
MATERIALS TODAY BIO,MATER TODAY BIO,ENGLAND,X,,,
MATERIALS TODAY CHEMISTRY,MATER TODAY CHEM,ENGLAND,X,,,
MATERIALS TODAY COMMUNICATIONS,MATER TODAY COMMUN,ENGLAND,X,,,
MATERIALS TODAY ENERGY,MATER TODAY ENERGY,ENGLAND,X,,,
MATERIALS TODAY NANO,MATER TODAY NANO,ENGLAND,X,,,
MATERIALS TODAY PHYSICS,MATER TODAY PHYS,NETHERLANDS,X,,,
MATERIALS TODAY SUSTAINABILITY,MATER TODAY SUSTAIN,ENGLAND,X,,,
MATERIALS TRANSACTIONS,MATER TRANS,JAPAN,X,,,
MATERIA-RIO DE JANEIRO,MATERIA-BRAZIL,BRAZIL,X,,,
MATERIALIA,MATERIALIA,ENGLAND,,,,X
MATERIALS,MATERIALS,SWITZERLAND,X,,,
MATERIALWISSENSCHAFT UND WERKSTOFFTECHNIK,MATERIALWISS WERKST,GERMANY,X,,,
MATERNAL AND CHILD HEALTH JOURNAL,MATERN CHILD HLTH J,UNITED STATES,,X,,
MATERNAL AND CHILD NUTRITION,MATERN CHILD NUTR,ENGLAND,X,,,
MATERNAL-FETAL MEDICINE,MATERN-FETAL MED,PEOPLES R CHINA,,,,X
MATHEMATISCHE ANNALEN,MATH ANN,GERMANY,X,,,
MATHEMATICAL BIOSCIENCES,MATH BIOSCI,UNITED STATES,X,,,
MATHEMATICAL BIOSCIENCES AND ENGINEERING,MATH BIOSCI ENG,UNITED STATES,X,,,
MATHEMATICA BOHEMICA,MATH BOHEM,CZECH REPUBLIC,,,,X
MATHEMATICAL COMMUNICATIONS,MATH COMMUN,CROATIA,X,,,
MATHEMATICAL AND COMPUTER MODELLING OF DYNAMICAL SYSTEMS,MATH COMP MODEL DYN,UNITED STATES,X,,,
MATHEMATICS OF COMPUTATION,MATH COMPUT,UNITED STATES,X,,,
MATHEMATICAL AND COMPUTATIONAL APPLICATIONS,MATH COMPUT APPL,SWITZERLAND,,,,X
MATHEMATICAL AND COMPUTATIONAL FORESTRY & NATURAL-RESOURCE SCIENCES,MATH COMPUT FOR NAT-,UNITED STATES,,,,X
MATHEMATICS IN COMPUTER SCIENCE,MATH COMPUT SCI,SWITZERLAND,,,,X
MATHEMATICS AND COMPUTERS IN SIMULATION,MATH COMPUT SIMULAT,NETHERLANDS,X,,,
MATHEMATICAL CONTROL AND RELATED FIELDS,MATH CONTROL RELAT F,UNITED STATES,X,,,
MATHEMATICS OF CONTROL SIGNALS AND SYSTEMS,MATH CONTROL SIGNAL,ENGLAND,X,,,
MATHEMATICS EDUCATION RESEARCH JOURNAL,MATH EDUC RES J,AUSTRALIA,,,,X
MATHEMATICS IN ENGINEERING,MATH ENG-US,UNITED STATES,X,,,
MATHEMATICS ENTHUSIAST,MATH ENTHUS,UNITED STATES,,,,X
MATHEMATICAL FOUNDATIONS OF COMPUTING,MATH FDN COMPUT,UNITED STATES,,,,X
MATHEMATICAL FINANCE,MATH FINANC,UNITED STATES,X,X,,
MATHEMATICS AND FINANCIAL ECONOMICS,MATH FINANC ECON,GERMANY,X,X,,
MATHEMATICAL GAZETTE,MATH GAZ,ENGLAND,,,,X
MATHEMATICAL GEOSCIENCES,MATH GEOSCI,GERMANY,X,,,
MATHEMATICAL INEQUALITIES & APPLICATIONS,MATH INEQUAL APPL,CROATIA,X,,,
MATHEMATICS AND INFORMATICS,MATH INFORM,BULGARIA,,,,X
MATHEMATICAL INTELLIGENCER,MATH INTELL,UNITED STATES,X,,,
MATHEMATICAL LOGIC QUARTERLY,MATH LOGIC QUART,GERMANY,X,,,
MATHEMATICS AND MECHANICS OF COMPLEX SYSTEMS,MATH MECH COMPLEX SY,ITALY,,,,X
MATHEMATICS AND MECHANICS OF SOLIDS,MATH MECH SOLIDS,ENGLAND,X,,,
MATHEMATICAL MEDICINE AND BIOLOGY-A JOURNAL OF THE IMA,MATH MED BIOL,ENGLAND,X,,,
MATHEMATICAL METHODS IN THE APPLIED SCIENCES,MATH METHOD APPL SCI,ENGLAND,X,,,
MATHEMATICAL METHODS OF OPERATIONS RESEARCH,MATH METHOD OPER RES,GERMANY,X,,,
MATHEMATICAL METHODS OF STATISTICS,MATH METHODS STAT,UNITED STATES,,,,X
MATHEMATICAL MODELS & METHODS IN APPLIED SCIENCES,MATH MOD METH APPL S,SINGAPORE,X,,,
MATHEMATICAL MODELLING AND ANALYSIS,MATH MODEL ANAL,LITHUANIA,X,,,
MATHEMATICAL MODELLING OF NATURAL PHENOMENA,MATH MODEL NAT PHENO,FRANCE,X,,,
MATHEMATISCHE NACHRICHTEN,MATH NACHR,GERMANY,X,,,
MATHEMATICAL NOTES,MATH NOTES+,RUSSIA,X,,,
MATHEMATICS OF OPERATIONS RESEARCH,MATH OPER RES,UNITED STATES,X,,,
MATHEMATICAL PHYSICS ANALYSIS AND GEOMETRY,MATH PHYS ANAL GEOM,NETHERLANDS,X,,,
MATHEMATICAL POPULATION STUDIES,MATH POPUL STUD,UNITED STATES,X,X,,
MATHEMATICAL PROBLEMS IN ENGINEERING,MATH PROBL ENG,UNITED STATES,X,,,
MATHEMATICAL PROCEEDINGS OF THE CAMBRIDGE PHILOSOPHICAL SOCIETY,MATH PROC CAMBRIDGE,ENGLAND,X,,,
MATHEMATICAL PROGRAMMING,MATH PROGRAM,GERMANY,X,,,
MATHEMATICAL PROGRAMMING COMPUTATION,MATH PROGRAM COMPUT,GERMANY,X,,,
MATHEMATICAL REPORTS,MATH REP,ROMANIA,X,,,
MATHEMATICAL RESEARCH LETTERS,MATH RES LETT,UNITED STATES,X,,,
MATHEMATICA SCANDINAVICA,MATH SCAND,DENMARK,X,,,
MATHEMATICAL SCIENCES,MATH SCI,GERMANY,X,,,
MATHEMATICA SLOVACA,MATH SLOVACA,SLOVAKIA,X,,,
MATHEMATICAL SOCIAL SCIENCES,MATH SOC SCI,NETHERLANDS,X,X,,
MATHEMATICAL STRUCTURES IN COMPUTER SCIENCE,MATH STRUCT COMP SCI,ENGLAND,X,,,
MATHEMATICAL THINKING AND LEARNING,MATH THINK LEARN,UNITED STATES,,X,,
MATHEMATISCHE ZEITSCHRIFT,MATH Z,GERMANY,X,,,
MATHEMATICS,MATHEMATICS-BASEL,SWITZERLAND,X,,,
MATHEMATIKA,MATHEMATIKA,ENGLAND,X,,,
MATRAGA-ESTUDOS LINGUISTICOS E LITERARIO,MATRAGA,BRAZIL,,,,X
MATRIX BIOLOGY,MATRIX BIOL,NETHERLANDS,X,,,
MATTER AND RADIATION AT EXTREMES,MATTER RADIAT EXTREM,PEOPLES R CHINA,X,,,
MATTER,MATTER-US,UNITED STATES,X,,,
MATURITAS,MATURITAS,NETHERLANDS,X,,,
MAUERWERK,MAUERWERK,GERMANY,,,,X
MAUSAM,MAUSAM,INDIA,X,,,
MAXILLOFACIAL PLASTIC AND RECONSTRUCTIVE SURGERY,MAX PLAST RECONSTR S,SOUTH KOREA,,,,X
MAYDICA,MAYDICA,ITALY,X,,,
MAYO CLINIC PROCEEDINGS,MAYO CLIN PROC,UNITED STATES,X,,,
MBIO,MBIO,UNITED STATES,X,,,
MCGILL INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT LAW AND POLICY,MCGILL INT J SUSTAIN,CANADA,,,,X
MCGILL JOURNAL OF EDUCATION,MCGILL J EDUC,CANADA,,,,X
MCGILL JOURNAL OF LAW AND HEALTH,MCGILL J LAW HEALTH,CANADA,,,,X
MCMASTER JOURNAL OF THEOLOGY AND MINISTRY,MCMASTER J THEOL MIN,CANADA,,,,X
MCN-THE AMERICAN JOURNAL OF MATERNAL-CHILD NURSING,MCN-AM J MATERN-CHIL,UNITED STATES,X,X,,
MCS-MASCULINITIES AND SOCIAL CHANGE,MCS-MASC SOC CHANG,SPAIN,,,,X
MEANDROS MEDICAL AND DENTAL JOURNAL,MEAND MED DENT J,TURKEY,,,,X
MEANJIN,MEANJIN,AUSTRALIA,,,X,
MEASURING BUSINESS EXCELLENCE,MEAS BUS EXCELL,ENGLAND,,,,X
MEASUREMENT & CONTROL,MEAS CONTROL-UK,ENGLAND,X,,,
MEASUREMENT AND EVALUATION IN COUNSELING AND DEVELOPMENT,MEAS EVAL COUNS DEV,UNITED STATES,,X,,
MEASUREMENT IN PHYSICAL EDUCATION AND EXERCISE SCIENCE,MEAS PHYS EDUC EXERC,UNITED STATES,X,X,,
MEASUREMENT SCIENCE REVIEW,MEAS SCI REV,SLOVAKIA,X,,,
MEASUREMENT SCIENCE AND TECHNOLOGY,MEAS SCI TECHNOL,ENGLAND,X,,,
MEASUREMENT TECHNIQUES,MEAS TECH+,RUSSIA,,,,X
MEASUREMENT-INTERDISCIPLINARY RESEARCH AND PERSPECTIVES,MEAS-INTERDISCIP RES,ENGLAND,,,,X
MEASUREMENT,MEASUREMENT,ENGLAND,X,,,
MEAT SCIENCE,MEAT SCI,ENGLAND,X,,,
MECCANICA,MECCANICA,ITALY,X,,,
MECHANICS OF ADVANCED MATERIALS AND STRUCTURES,MECH ADV MATER STRUC,ENGLAND,X,,,
MECHANISMS OF AGEING AND DEVELOPMENT,MECH AGEING DEV,SWITZERLAND,X,,,
MECHANICS BASED DESIGN OF STRUCTURES AND MACHINES,MECH BASED DES STRUC,UNITED STATES,X,,,
MECHANICS OF COMPOSITE MATERIALS,MECH COMPOS MATER,UNITED STATES,X,,,
MECHANISMS OF DEVELOPMENT,MECH DEVELOP,NETHERLANDS,X,,,
MECHANICAL ENGINEERING,MECH ENG,UNITED STATES,X,,,
MECHANICAL ENGINEERING JOURNAL,MECH ENG J,JAPAN,,,,X
MECHANICAL ENGINEERING REVIEWS,MECH ENG REV,JAPAN,,,,X
MECHANICS & INDUSTRY,MECH IND,FRANCE,X,,,
MECHANISM AND MACHINE THEORY,MECH MACH THEORY,ENGLAND,X,,,
MECHANICS OF MATERIALS,MECH MATER,NETHERLANDS,X,,,
MECHANICS RESEARCH COMMUNICATIONS,MECH RES COMMUN,ENGLAND,X,,,
MECHANICAL SCIENCES,MECH SCI,GERMANY,X,,,
MECHANICS OF SOLIDS,MECH SOLIDS+,RUSSIA,X,,,
MECHANICAL SYSTEMS AND SIGNAL PROCESSING,MECH SYST SIGNAL PR,ENGLAND,X,,,
MECHANICS OF TIME-DEPENDENT MATERIALS,MECH TIME-DEPEND MAT,NETHERLANDS,X,,,
MECHANIKA,MECHANIKA,LITHUANIA,X,,,
MECHATRONIC SYSTEMS AND CONTROL,MECHATRON SYST CONTR,CANADA,,,,X
MECHATRONICS,MECHATRONICS,ENGLAND,X,,,
MEDICAL ACUPUNCTURE,MED ACUPUNCT,UNITED STATES,,,,X
MEDICAL ANTHROPOLOGY,MED ANTHROPOL,UNITED STATES,,X,,
MEDICAL ANTHROPOLOGY QUARTERLY,MED ANTHROPOL Q,UNITED STATES,,X,,
MEDICAL BULLETIN OF SISLI ETFAL HOSPITAL,MED B SISLI ETFAL HO,TURKEY,,,,X
MEDICINA BALEAR,MED BALEAR,SPAIN,,,,X
MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,MED BIOL ENG COMPUT,GERMANY,X,,,
MEDICAL CARE,MED CARE,UNITED STATES,X,X,,
MEDICAL CARE RESEARCH AND REVIEW,MED CARE RES REV,UNITED STATES,X,X,,
MEDICINAL CHEMISTRY,MED CHEM,U ARAB EMIRATES,X,,,
MEDICINAL CHEMISTRY RESEARCH,MED CHEM RES,UNITED STATES,X,,,
MEDICAL CLINICS OF NORTH AMERICA,MED CLIN N AM,UNITED STATES,X,,,
MEDICINA CLINICA,MED CLIN-BARCELONA,SPAIN,X,,,
MEDICAL DECISION MAKING,MED DECIS MAKING,UNITED STATES,X,X,,
MEDICAL DEVICES-EVIDENCE AND RESEARCH,MED DEVICES-EVID RES,NEW ZEALAND,,,,X
MEDICAL DOSIMETRY,MED DOSIM,UNITED STATES,X,,,
MEDECINE & DROIT,MED DROIT,FRANCE,,,,X
MEDICAL EDUCATION,MED EDUC,ENGLAND,X,,,
MEDICAL EDUCATION ONLINE,MED EDUC ONLINE,ENGLAND,,X,,
MEDICAL ENGINEERING & PHYSICS,MED ENG PHYS,ENGLAND,X,,,
MEDICINA DE FAMILIA-SEMERGEN,MED FAM-SEMERGEN,SPAIN,,,,X
MEDICAL GAS RESEARCH,MED GAS RES,INDIA,,,,X
MEDIZINISCHE GENETIK,MED GENET-BERLIN,GERMANY,X,,,
MEDICINE HEALTH CARE AND PHILOSOPHY,MED HEALTH CARE PHIL,NETHERLANDS,,X,X,
MEDICINE AND HEALTH,MED HEALTH-KUALA LUM,MALAYSIA,,,,X
MEDICAL HISTORY,MED HIST,ENGLAND,X,X,X,
MEDICAL HUMANITIES,MED HUMANIT,ENGLAND,,,X,
MEDICAL HYPOTHESES,MED HYPOTHESES,SCOTLAND,X,,,
MEDICAL IMAGE ANALYSIS,MED IMAGE ANAL,NETHERLANDS,X,,,
MEDICINA INTENSIVA,MED INTENSIVA,SPAIN,X,,,
MEDICAL JOURNAL OF AUSTRALIA,MED J AUSTRALIA,AUSTRALIA,X,,,
MEDICAL JOURNAL OF BAKIRKOY,MED J BAKIRKOY,TURKEY,,,,X
MEDICAL JOURNAL OF INDONESIA,MED J INDONES,INDONESIA,,,,X
MEDIZINISCHE KLINIK-INTENSIVMEDIZIN UND NOTFALLMEDIZIN,MED KLIN-INTENSIVMED,GERMANY,X,,,
MEDICINA DEL LAVORO,MED LAV,ITALY,X,,,
MEDICINE AND LAW,MED LAW,UNITED STATES,,,,X
MEDICAL LAW REVIEW,MED LAW REV,ENGLAND,X,X,,
MEDICINE LAW & SOCIETY,MED LAW SOC,SLOVENIA,,,,X
MEDICAL LETTER ON DRUGS AND THERAPEUTICS,MED LETT DRUGS THER,UNITED STATES,X,,,
MEDECINE ET MALADIES INFECTIEUSES,MED MALADIES INFECT,FRANCE,X,,,
MEDICAL MICROBIOLOGY AND IMMUNOLOGY,MED MICROBIOL IMMUN,GERMANY,X,,,
MEDICAL MOLECULAR MORPHOLOGY,MED MOL MORPHOL,JAPAN,X,,,
MEDICAL MYCOLOGY,MED MYCOL,ENGLAND,X,,,
MEDICAL MYCOLOGY CASE REPORTS,MED MYCOL CASE REP,NETHERLANDS,,,,X
MEDICAL MYCOLOGY JOURNAL,MED MYCOL J,JAPAN,,,,X
MEDECINE NUCLEAIRE-IMAGERIE FONCTIONNELLE ET METABOLIQUE,MED NUCL,FRANCE,X,,,
MEDICAL ONCOLOGY,MED ONCOL,UNITED STATES,X,,,
MEDICINA ORAL PATOLOGIA ORAL Y CIRUGIA BUCAL,MED ORAL PATOL ORAL,SPAIN,X,,,
MEDYCYNA PALIATYWNA-PALLIATIVE MEDICINE,MED PALIATYWNA,POLAND,,,,X
MEDECINE PALLIATIVE,MED PALLIAT,FRANCE,,,,X
MEDICAL PERSPECTIVES-MEDICNI PERSPEKTIVI,MED PERSPECT,UKRAINE,,,,X
MEDICAL PHYSICS,MED PHYS,UNITED STATES,X,,,
MEDYCYNA PRACY,MED PR,POLAND,X,,,
MEDICAL PRINCIPLES AND PRACTICE,MED PRIN PRACT,KUWAIT,X,,,
MEDICAL PROBLEMS OF PERFORMING ARTISTS,MED PROBL PERFORM AR,UNITED STATES,X,,X,
MEDICINAL RESEARCH REVIEWS,MED RES REV,UNITED STATES,X,,,
MEDICAL SCIENCE,MED SCI,INDIA,,,,X
MEDICAL SCIENCE EDUCATOR,MED SCI EDUC,UNITED STATES,,,,X
MEDICINE SCIENCE AND THE LAW,MED SCI LAW,ENGLAND,X,X,,
MEDICAL SCIENCE MONITOR BASIC RESEARCH,MED SCI MONIT BASIC,UNITED STATES,,,,X
MEDICAL SCIENCE MONITOR,MED SCI MONITOR,UNITED STATES,X,,,
MEDICINE & SCIENCE IN SPORTS & EXERCISE,MED SCI SPORT EXER,UNITED STATES,X,,,
MEDICINA DELLO SPORT,MED SPORT,ITALY,X,,,
MEDICAL STUDIES-STUDIA MEDYCZNE,MED STUD,POLAND,,,,X
MEDICAL TEACHER,MED TEACH,ENGLAND,X,,,
MEDICAL ULTRASONOGRAPHY,MED ULTRASON,ROMANIA,X,,,
MEDICAL AND VETERINARY ENTOMOLOGY,MED VET ENTOMOL,ENGLAND,X,,,
MEDYCYNA WETERYNARYJNA-VETERINARY MEDICINE-SCIENCE AND PRACTICE,MED WETER,POLAND,X,,,
MED,MED-CAMBRIDGE,UNITED STATES,,,,X
MEDCHEMCOMM,MEDCHEMCOMM,ENGLAND,X,,,
MEDCOMM,MEDCOMM,AUSTRALIA,,,,X
MEDIA AND COMMUNICATION,MEDIA COMMUN-LISBON,PORTUGAL,,X,,
MEDIA CULTURE & SOCIETY,MEDIA CULT SOC,UNITED STATES,,X,,
MEDIA EDUCATION-MEDIAOBRAZOVANIE,MEDIA EDUC-RUSS,SLOVAKIA,,,,X
MEDIA HISTORY,MEDIA HIST,ENGLAND,,,,X
MEDIA INTERNATIONAL AUSTRALIA,MEDIA INT AUST,ENGLAND,,X,,
MEDIA LITERACY AND ACADEMIC RESEARCH,MEDIA LIT ACAD RES,SLOVAKIA,,,,X
MEDIA PENELITIAN DAN PENGEMBANGAN KESEHATAN,MEDIA PENELIT PENGEM,INDONESIA,,,,X
MEDIA PSYCHOLOGY,MEDIA PSYCHOL,UNITED STATES,,X,X,
MEDIA WAR AND CONFLICT,MEDIA WAR CONFL,ENGLAND,,,,X
MEDIACIONES SOCIALES,MEDIAC SOC,SPAIN,,,,X
MEDIAEVALIA-AN INTERDISCIPLINARY JOURNAL OF MEDIEVAL STUDIES WORLDWIDE,MEDIAEVALIA,UNITED STATES,,,,X
MEDIATORS OF INFLAMMATION,MEDIAT INFLAMM,ENGLAND,X,,,
MEDICC REVIEW,MEDICC REV,UNITED STATES,X,X,,
MEDICINA-BUENOS AIRES,MEDICINA-BUENOS AIRE,ARGENTINA,X,,,
MEDICINA-LITHUANIA,MEDICINA-LITHUANIA,LITHUANIA,X,,,
MEDICINE,MEDICINE,UNITED STATES,X,,,
MEDIEVAL ARCHAEOLOGY,MEDIEV ARCHAEOL,ENGLAND,,,X,
MEDIEVAL HISTORY JOURNAL,MEDIEV HIST J,INDIA,,,X,
MEDIEVAL MYSTICAL THEOLOGY,MEDIEV MYSTICAL THEO,ENGLAND,,,,X
MEDIEVALISMO,MEDIEVALISMO,SPAIN,,,,X
